, Emotion, Text, Clean_text
1244,puas, Pelayanan tata usaha kampus sangat membantu dalam memberikan informasi tentang program beasiswa yang tersedia bagi mahasiswa., Pelayanan tata usaha kampus sangat membantu dalam memberikan informasi tentang program beasiswa yang tersedia bagi mahasiswa.
1245,sedih, Saya merasa sedih karena seringkali tata usaha kampus tidak memberikan dukungan yang memadai bagi mahasiswa yang mengalami kesulitan finansial untuk mengakses beasiswa., Saya merasa sedih karena seringkali tata usaha kampus tidak memberikan dukungan yang memadai bagi mahasiswa yang mengalami kesulitan finansial untuk mengakses beasiswa.
1246,puas, Pelayanan tata usaha kampus sangat responsif dalam mengurus perpanjangan izin tinggal bagi mahasiswa asing., Pelayanan tata usaha kampus sangat responsif dalam mengurus perpanjangan izin tinggal bagi mahasiswa asing.
1247,sedih, Saya merasa sedih karena tata usaha kampus terkadang lambat dalam memberikan dukungan dalam proses perpanjangan izin tinggal bagi mahasiswa asing., Saya merasa sedih karena tata usaha kampus terkadang lambat dalam memberikan dukungan dalam proses perpanjangan izin tinggal bagi mahasiswa asing.
1248,puas, Pelayanan tata usaha kampus sangat membantu dalam proses pengurusan cuti kuliah bagi mahasiswa yang membutuhkan., Pelayanan tata usaha kampus sangat membantu dalam proses pengurusan cuti kuliah bagi mahasiswa yang membutuhkan.
1249,sedih, Saya merasa sedih karena seringkali tata usaha kampus tidak memberikan respon yang tepat waktu terhadap permohonan cuti kuliah., Saya merasa sedih karena seringkali tata usaha kampus tidak memberikan respon yang tepat waktu terhadap permohonan cuti kuliah.
1250,puas, Pelayanan tata usaha kampus sangat membantu dalam proses pengurusan penggantian buku transkrip akademik yang hilang., Pelayanan tata usaha kampus sangat membantu dalam proses pengurusan penggantian buku transkrip akademik yang hilang.
1251,sedih, Saya merasa sedih karena tata usaha kampus kadangkala tidak memberikan informasi yang lengkap tentang ketentuan dan biaya penggantian buku transkrip akademik., Saya merasa sedih karena tata usaha kampus kadangkala tidak memberikan informasi yang lengkap tentang ketentuan dan biaya penggantian buku transkrip akademik.
1252,puas, Pelayanan tata usaha kampus sangat membantu dalam memberikan informasi tentang program beasiswa yang tersedia bagi mahasiswa., Pelayanan tata usaha kampus sangat membantu dalam memberikan informasi tentang program beasiswa yang tersedia bagi mahasiswa.
1253,sedih, Saya merasa sedih karena seringkali tata usaha kampus tidak memberikan dukungan yang memadai bagi mahasiswa yang mengalami kesulitan finansial untuk mengakses beasiswa., Saya merasa sedih karena seringkali tata usaha kampus tidak memberikan dukungan yang memadai bagi mahasiswa yang mengalami kesulitan finansial untuk mengakses beasiswa.
1254,puas, Pelayanan tata usaha kampus sangat responsif dalam mengurus perpanjangan izin tinggal bagi mahasiswa asing., Pelayanan tata usaha kampus sangat responsif dalam mengurus perpanjangan izin tinggal bagi mahasiswa asing.
1255,sedih, Saya merasa sedih karena tata usaha kampus terkadang lambat dalam memberikan dukungan dalam proses perpanjangan izin tinggal bagi mahasiswa asing., Saya merasa sedih karena tata usaha kampus terkadang lambat dalam memberikan dukungan dalam proses perpanjangan izin tinggal bagi mahasiswa asing.
1256,puas, Pelayanan tata usaha kampus sangat membantu dalam proses pengurusan cuti kuliah bagi mahasiswa yang membutuhkan., Pelayanan tata usaha kampus sangat membantu dalam proses pengurusan cuti kuliah bagi mahasiswa yang membutuhkan.
1257,sedih, Saya merasa sedih karena seringkali tata usaha kampus tidak memberikan respon yang tepat waktu terhadap permohonan cuti kuliah., Saya merasa sedih karena seringkali tata usaha kampus tidak memberikan respon yang tepat waktu terhadap permohonan cuti kuliah.
1258,puas, Pelayanan tata usaha kampus sangat membantu dalam proses pengurusan penggantian buku transkrip akademik yang hilang., Pelayanan tata usaha kampus sangat membantu dalam proses pengurusan penggantian buku transkrip akademik yang hilang.
1259,sedih, Saya merasa sedih karena tata usaha kampus kadangkala tidak memberikan informasi yang lengkap tentang ketentuan dan biaya penggantian buku transkrip akademik., Saya merasa sedih karena tata usaha kampus kadangkala tidak memberikan informasi yang lengkap tentang ketentuan dan biaya penggantian buku transkrip akademik.
1260,puas, Pelayanan tata usaha kampus sangat membantu dalam memberikan informasi tentang program beasiswa yang tersedia bagi mahasiswa., Pelayanan tata usaha kampus sangat membantu dalam memberikan informasi tentang program beasiswa yang tersedia bagi mahasiswa.
1261,sedih, Saya merasa sedih karena seringkali tata usaha kampus tidak memberikan dukungan yang memadai bagi mahasiswa yang mengalami kesulitan finansial untuk mengakses beasiswa., Saya merasa sedih karena seringkali tata usaha kampus tidak memberikan dukungan yang memadai bagi mahasiswa yang mengalami kesulitan finansial untuk mengakses beasiswa.
1262,puas, Pelayanan tata usaha kampus sangat responsif dalam mengurus perpanjangan izin tinggal bagi mahasiswa asing., Pelayanan tata usaha kampus sangat responsif dalam mengurus perpanjangan izin tinggal bagi mahasiswa asing.
1263,sedih, Saya merasa sedih karena tata usaha kampus terkadang lambat dalam memberikan dukungan dalam proses perpanjangan izin tinggal bagi mahasiswa asing., Saya merasa sedih karena tata usaha kampus terkadang lambat dalam memberikan dukungan dalam proses perpanjangan izin tinggal bagi mahasiswa asing.
1264,puas, Pelayanan tata usaha kampus sangat membantu dalam proses pengurusan cuti kuliah bagi mahasiswa yang membutuhkan., Pelayanan tata usaha kampus sangat membantu dalam proses pengurusan cuti kuliah bagi mahasiswa yang membutuhkan.
1265,sedih, Saya merasa sedih karena seringkali tata usaha kampus tidak memberikan respon yang tepat waktu terhadap permohonan cuti kuliah., Saya merasa sedih karena seringkali tata usaha kampus tidak memberikan respon yang tepat waktu terhadap permohonan cuti kuliah.
1266,puas, Pelayanan tata usaha kampus sangat membantu dalam proses pengurusan penggantian buku transkrip akademik yang hilang., Pelayanan tata usaha kampus sangat membantu dalam proses pengurusan penggantian buku transkrip akademik yang hilang.
1267,sedih, Saya merasa sedih karena tata usaha kampus kadangkala tidak memberikan informasi yang lengkap tentang ketentuan dan biaya penggantian buku transkrip akademik., Saya merasa sedih karena tata usaha kampus kadangkala tidak memberikan informasi yang lengkap tentang ketentuan dan biaya penggantian buku transkrip akademik.
1268,puas, Pelayanan tata usaha kampus sangat membantu dalam memberikan informasi tentang program beasiswa yang tersedia bagi mahasiswa., Pelayanan tata usaha kampus sangat membantu dalam memberikan informasi tentang program beasiswa yang tersedia bagi mahasiswa.
1269,sedih, Saya merasa sedih karena seringkali tata usaha kampus tidak memberikan dukungan yang memadai bagi mahasiswa yang mengalami kesulitan finansial untuk mengakses beasiswa., Saya merasa sedih karena seringkali tata usaha kampus tidak memberikan dukungan yang memadai bagi mahasiswa yang mengalami kesulitan finansial untuk mengakses beasiswa.
1270,puas, Pelayanan tata usaha kampus sangat responsif dalam mengurus perpanjangan izin tinggal bagi mahasiswa asing., Pelayanan tata usaha kampus sangat responsif dalam mengurus perpanjangan izin tinggal bagi mahasiswa asing.
1271,sedih, Saya merasa sedih karena tata usaha kampus terkadang lambat dalam memberikan dukungan dalam proses perpanjangan izin tinggal bagi mahasiswa asing., Saya merasa sedih karena tata usaha kampus terkadang lambat dalam memberikan dukungan dalam proses perpanjangan izin tinggal bagi mahasiswa asing.
1272,puas, Pelayanan tata usaha kampus sangat membantu dalam proses pengurusan cuti kuliah bagi mahasiswa yang membutuhkan., Pelayanan tata usaha kampus sangat membantu dalam proses pengurusan cuti kuliah bagi mahasiswa yang membutuhkan.
1273,sedih, Saya merasa sedih karena seringkali tata usaha kampus tidak memberikan respon yang tepat waktu terhadap permohonan cuti kuliah., Saya merasa sedih karena seringkali tata usaha kampus tidak memberikan respon yang tepat waktu terhadap permohonan cuti kuliah.
1274,puas, Pelayanan tata usaha kampus sangat membantu dalam proses pengurusan penggantian buku transkrip akademik yang hilang., Pelayanan tata usaha kampus sangat membantu dalam proses pengurusan penggantian buku transkrip akademik yang hilang.
1275,sedih, Saya merasa sedih karena tata usaha kampus kadangkala tidak memberikan informasi yang lengkap tentang ketentuan dan biaya penggantian buku transkrip akademik., Saya merasa sedih karena tata usaha kampus kadangkala tidak memberikan informasi yang lengkap tentang ketentuan dan biaya penggantian buku transkrip akademik.
1276,puas, Pelayanan tata usaha kampus sangat membantu dalam memberikan informasi tentang program beasiswa yang tersedia bagi mahasiswa., Pelayanan tata usaha kampus sangat membantu dalam memberikan informasi tentang program beasiswa yang tersedia bagi mahasiswa.
1277,sedih, Saya merasa sedih karena seringkali tata usaha kampus tidak memberikan dukungan yang memadai bagi mahasiswa yang mengalami kesulitan finansial untuk mengakses beasiswa., Saya merasa sedih karena seringkali tata usaha kampus tidak memberikan dukungan yang memadai bagi mahasiswa yang mengalami kesulitan finansial untuk mengakses beasiswa.
1278,puas, Pelayanan tata usaha kampus sangat responsif dalam mengurus perpanjangan izin tinggal bagi mahasiswa asing., Pelayanan tata usaha kampus sangat responsif dalam mengurus perpanjangan izin tinggal bagi mahasiswa asing.
1279,sedih, Saya merasa sedih karena tata usaha kampus terkadang lambat dalam memberikan dukungan dalam proses perpanjangan izin tinggal bagi mahasiswa asing., Saya merasa sedih karena tata usaha kampus terkadang lambat dalam memberikan dukungan dalam proses perpanjangan izin tinggal bagi mahasiswa asing.
1280,puas, Pelayanan tata usaha kampus sangat membantu dalam proses pengurusan cuti kuliah bagi mahasiswa yang membutuhkan., Pelayanan tata usaha kampus sangat membantu dalam proses pengurusan cuti kuliah bagi mahasiswa yang membutuhkan.
1281,sedih, Saya merasa sedih karena seringkali tata usaha kampus tidak memberikan respon yang tepat waktu terhadap permohonan cuti kuliah., Saya merasa sedih karena seringkali tata usaha kampus tidak memberikan respon yang tepat waktu terhadap permohonan cuti kuliah.
1282,puas, Pelayanan tata usaha kampus sangat membantu dalam proses pengurusan penggantian buku transkrip akademik yang hilang., Pelayanan tata usaha kampus sangat membantu dalam proses pengurusan penggantian buku transkrip akademik yang hilang.
1283,sedih, Saya merasa sedih karena tata usaha kampus kadangkala tidak memberikan informasi yang lengkap tentang ketentuan dan biaya penggantian buku transkrip akademik., Saya merasa sedih karena tata usaha kampus kadangkala tidak memberikan informasi yang lengkap tentang ketentuan dan biaya penggantian buku transkrip akademik.
1284,puas, Pelayanan tata usaha kampus sangat membantu dalam memberikan informasi tentang program beasiswa yang tersedia bagi mahasiswa., Pelayanan tata usaha kampus sangat membantu dalam memberikan informasi tentang program beasiswa yang tersedia bagi mahasiswa.
1285,sedih, Saya merasa sedih karena seringkali tata usaha kampus tidak memberikan dukungan yang memadai bagi mahasiswa yang mengalami kesulitan finansial untuk mengakses beasiswa., Saya merasa sedih karena seringkali tata usaha kampus tidak memberikan dukungan yang memadai bagi mahasiswa yang mengalami kesulitan finansial untuk mengakses beasiswa.
1286,puas, Pelayanan tata usaha kampus sangat responsif dalam mengurus perpanjangan izin tinggal bagi mahasiswa asing., Pelayanan tata usaha kampus sangat responsif dalam mengurus perpanjangan izin tinggal bagi mahasiswa asing.
1287,sedih, Saya merasa sedih karena tata usaha kampus terkadang tidak memberikan bantuan yang memadai bagi mahasiswa yang mengalami kendala teknis dalam pendaftaran mata kuliah., Saya merasa sedih karena tata usaha kampus terkadang tidak memberikan bantuan yang memadai bagi mahasiswa yang mengalami kendala teknis dalam pendaftaran mata kuliah.
1288,puas, Pelayanan tata usaha kampus sangat membantu dalam proses pengurusan izin studi lapangan bagi mahasiswa., Pelayanan tata usaha kampus sangat membantu dalam proses pengurusan izin studi lapangan bagi mahasiswa.
1289,sedih, Saya merasa sedih karena tata usaha kampus kadangkala lambat dalam mengurus proses pengurusan izin studi lapangan bagi mahasiswa., Saya merasa sedih karena tata usaha kampus kadangkala lambat dalam mengurus proses pengurusan izin studi lapangan bagi mahasiswa.
1290,puas, Pelayanan tata usaha kampus sangat sigap dalam memberikan informasi tentang prosedur pengajuan judul skripsi bagi mahasiswa., Pelayanan tata usaha kampus sangat sigap dalam memberikan informasi tentang prosedur pengajuan judul skripsi bagi mahasiswa.
1291,sedih, Saya merasa sedih karena tata usaha kampus tidak memberikan panduan yang cukup jelas dalam proses pengajuan judul skripsi., Saya merasa sedih karena tata usaha kampus tidak memberikan panduan yang cukup jelas dalam proses pengajuan judul skripsi.
1292,puas, Pelayanan tata usaha kampus sangat membantu dalam proses pengurusan perpanjangan peminjaman buku perpustakaan bagi mahasiswa., Pelayanan tata usaha kampus sangat membantu dalam proses pengurusan perpanjangan peminjaman buku perpustakaan bagi mahasiswa.
1293,sedih, Saya merasa sedih karena tata usaha kampus terkadang tidak memberikan peringatan dini mengenai batas waktu peminjaman buku perpustakaan., Saya merasa sedih karena tata usaha kampus terkadang tidak memberikan peringatan dini mengenai batas waktu peminjaman buku perpustakaan.
1294,puas, Pelayanan tata usaha kampus sangat membantu dalam memberikan informasi tentang peluang pengabdian masyarakat bagi mahasiswa., Pelayanan tata usaha kampus sangat membantu dalam memberikan informasi tentang peluang pengabdian masyarakat bagi mahasiswa.
1295,sedih, Saya merasa sedih karena tata usaha kampus tidak selalu memberikan dukungan yang memadai bagi mahasiswa yang tertarik untuk berkontribusi dalam program pengabdian masyarakat., Saya merasa sedih karena tata usaha kampus tidak selalu memberikan dukungan yang memadai bagi mahasiswa yang tertarik untuk berkontribusi dalam program pengabdian masyarakat.
1296,puas, Pelayanan tata usaha kampus sangat membantu dalam proses pengurusan izin observasi lapangan bagi mahasiswa., Pelayanan tata usaha kampus sangat membantu dalam proses pengurusan izin observasi lapangan bagi mahasiswa.
1297,sedih, Saya merasa sedih karena tata usaha kampus tidak selalu memberikan dukungan yang memadai bagi mahasiswa yang ingin melakukan observasi lapangan., Saya merasa sedih karena tata usaha kampus tidak selalu memberikan dukungan yang memadai bagi mahasiswa yang ingin melakukan observasi lapangan.
1298,puas, Pelayanan tata usaha kampus sangat sigap dalam mengurus proses pengurusan izin wawancara bagi mahasiswa yang sedang melakukan penelitian., Pelayanan tata usaha kampus sangat sigap dalam mengurus proses pengurusan izin wawancara bagi mahasiswa yang sedang melakukan penelitian.
1299,sedih, Saya merasa sedih karena tata usaha kampus terkadang tidak memberikan panduan yang lengkap tentang proses pengurusan izin wawancara bagi mahasiswa., Saya merasa sedih karena tata usaha kampus terkadang tidak memberikan panduan yang lengkap tentang proses pengurusan izin wawancara bagi mahasiswa.
1300,puas, Pelayanan tata usaha kampus sangat membantu dalam proses pengurusan izin akses ke laboratorium bagi mahasiswa., Pelayanan tata usaha kampus sangat membantu dalam proses pengurusan izin akses ke laboratorium bagi mahasiswa.
1301,sedih, Saya merasa sedih karena tata usaha kampus terkadang tidak memberikan respon yang cepat terhadap permohonan izin akses ke laboratorium., Saya merasa sedih karena tata usaha kampus terkadang tidak memberikan respon yang cepat terhadap permohonan izin akses ke laboratorium.
1302,puas, Pelayanan tata usaha kampus sangat membantu dalam proses pengurusan surat keterangan pengganti KTM bagi mahasiswa yang kehilangan KTM., Pelayanan tata usaha kampus sangat membantu dalam proses pengurusan surat keterangan pengganti KTM bagi mahasiswa yang kehilangan KTM.
1303,sedih, Saya merasa sedih karena tata usaha kampus terkadang memperlambat proses pengurusan surat keterangan pengganti KTM bagi mahasiswa yang kehilangan KTM., Saya merasa sedih karena tata usaha kampus terkadang memperlambat proses pengurusan surat keterangan pengganti KTM bagi mahasiswa yang kehilangan KTM.
1304,puas, Pelayanan tata usaha kampus sangat membantu dalam memberikan informasi tentang persyaratan wisuda bagi mahasiswa., Pelayanan tata usaha kampus sangat membantu dalam memberikan informasi tentang persyaratan wisuda bagi mahasiswa.
1305, sedih, Saya merasa sedih karena tata usaha kampus terkadang tidak memberikan panduan yang lengkap tentang persyaratan wisuda bagi mahasiswa., Saya merasa sedih karena tata usaha kampus terkadang tidak memberikan panduan yang lengkap tentang persyaratan wisuda bagi mahasiswa.
1306,kesal, Saya merasa kesal karena tata usaha kampus seringkali lambat dalam mengurus proses administrasi pembayaran uang kuliah., Saya merasa kesal karena tata usaha kampus seringkali lambat dalam mengurus proses administrasi pembayaran uang kuliah.
1307,kecewa, Saya merasa kecewa  karena tata usaha kampus terkadang tidak responsif terhadap permohonan dispensasi kuliah., Saya merasa kecewa  karena tata usaha kampus terkadang tidak responsif terhadap permohonan dispensasi kuliah.
1308,kesal, Saya merasa kesal karena tata usaha kampus tidak memberikan penjelasan yang memadai mengenai biaya pendaftaran ulang setiap semester., Saya merasa kesal karena tata usaha kampus tidak memberikan penjelasan yang memadai mengenai biaya pendaftaran ulang setiap semester.
1309,kecewa, Saya merasa kecewa  karena tata usaha kampus tidak memberikan informasi yang akurat tentang jadwal kuliah dan pengumuman penting., Saya merasa kecewa  karena tata usaha kampus tidak memberikan informasi yang akurat tentang jadwal kuliah dan pengumuman penting.
1310,kesal, Saya merasa kesal karena tata usaha kampus terkadang tidak menjawab telepon atau email dengan baik dan jelas., Saya merasa kesal karena tata usaha kampus terkadang tidak menjawab telepon atau email dengan baik dan jelas.
1311,kecewa, Saya merasa kecewa  karena tata usaha kampus tidak memberikan pelayanan yang ramah dan sopan kepada mahasiswa., Saya merasa kecewa  karena tata usaha kampus tidak memberikan pelayanan yang ramah dan sopan kepada mahasiswa.
1312,kesal, Saya merasa kesal karena tata usaha kampus tidak selalu memberikan informasi yang tepat tentang perubahan jadwal kuliah., Saya merasa kesal karena tata usaha kampus tidak selalu memberikan informasi yang tepat tentang perubahan jadwal kuliah.
1313,kecewa, Saya merasa kecewa  karena tata usaha kampus tidak memberikan kemudahan dalam proses pengajuan cuti kuliah., Saya merasa kecewa  karena tata usaha kampus tidak memberikan kemudahan dalam proses pengajuan cuti kuliah.
1314,kesal, Saya merasa kesal karena tata usaha kampus tidak menginformasikan dengan jelas tentang peraturan dan tata tertib kampus., Saya merasa kesal karena tata usaha kampus tidak menginformasikan dengan jelas tentang peraturan dan tata tertib kampus.
1315,kecewa, Saya merasa kecewa  karena tata usaha kampus tidak memberikan dukungan yang memadai bagi mahasiswa yang mengalami kendala akademik., Saya merasa kecewa  karena tata usaha kampus tidak memberikan dukungan yang memadai bagi mahasiswa yang mengalami kendala akademik.
1316,kesal, Saya merasa kesal karena tata usaha kampus seringkali lambat dalam memproses pengurusan surat-surat penting bagi mahasiswa., Saya merasa kesal karena tata usaha kampus seringkali lambat dalam memproses pengurusan surat-surat penting bagi mahasiswa.
1317,kecewa, Saya merasa kecewa  karena tata usaha kampus tidak memberikan pengarahan yang jelas tentang prosedur pengajuan skripsi., Saya merasa kecewa  karena tata usaha kampus tidak memberikan pengarahan yang jelas tentang prosedur pengajuan skripsi.
1318,kesal, Saya merasa kesal karena tata usaha kampus terkadang tidak menggubris keluhan atau masukan dari mahasiswa., Saya merasa kesal karena tata usaha kampus terkadang tidak menggubris keluhan atau masukan dari mahasiswa.
1319,kecewa, Saya merasa kecewa  karena tata usaha kampus tidak memberikan informasi yang lengkap tentang persyaratan magang., Saya merasa kecewa  karena tata usaha kampus tidak memberikan informasi yang lengkap tentang persyaratan magang.
1320,kesal, Saya merasa kesal karena tata usaha kampus terkadang tidak responsif dalam menghadapi keluhan dari mahasiswa., Saya merasa kesal karena tata usaha kampus terkadang tidak responsif dalam menghadapi keluhan dari mahasiswa.
1321,kecewa, Saya merasa kecewa  karena tata usaha kampus tidak memberikan panduan yang lengkap tentang proses pembuatan KTM baru., Saya merasa kecewa  karena tata usaha kampus tidak memberikan panduan yang lengkap tentang proses pembuatan KTM baru.
1322,kesal, Saya merasa kesal karena tata usaha kampus terkadang tidak memberikan informasi yang akurat tentang jadwal ujian., Saya merasa kesal karena tata usaha kampus terkadang tidak memberikan informasi yang akurat tentang jadwal ujian.
1323,kecewa, Saya merasa kecewa  karena tata usaha kampus tidak selalu memberikan bantuan yang memadai dalam mengurus pengurusan beasiswa., Saya merasa kecewa  karena tata usaha kampus tidak selalu memberikan bantuan yang memadai dalam mengurus pengurusan beasiswa.
1324,kesal, Saya merasa kesal karena tata usaha kampus tidak memberikan pengarahan yang tepat tentang proses pembayaran uang kuliah., Saya merasa kesal karena tata usaha kampus tidak memberikan pengarahan yang tepat tentang proses pembayaran uang kuliah.
1325,kecewa, Saya merasa kecewa  karena tata usaha kampus tidak memberikan pelayanan yang cepat dalam proses pengurusan administrasi mahasiswa baru., Saya merasa kecewa  karena tata usaha kampus tidak memberikan pelayanan yang cepat dalam proses pengurusan administrasi mahasiswa baru.
1326,kesal, Saya merasa kesal karena tata usaha kampus terkadang tidak memberikan penjelasan yang memadai tentang syarat dan ketentuan peminjaman buku di perpustakaan kampus., Saya merasa kesal karena tata usaha kampus terkadang tidak memberikan penjelasan yang memadai tentang syarat dan ketentuan peminjaman buku di perpustakaan kampus.
1327,kecewa, Saya merasa kecewa  karena tata usaha kampus tidak selalu memberikan informasi yang diperlukan dalam proses pengajuan cuti kuliah., Saya merasa kecewa  karena tata usaha kampus tidak selalu memberikan informasi yang diperlukan dalam proses pengajuan cuti kuliah.
1328,kesal, Saya merasa kesal karena tata usaha kampus terkadang tidak memberikan bantuan yang memadai dalam mengurus surat keterangan aktif kuliah., Saya merasa kesal karena tata usaha kampus terkadang tidak memberikan bantuan yang memadai dalam mengurus surat keterangan aktif kuliah.
1329,kecewa, Saya merasa kecewa  karena tata usaha kampus tidak memberikan panduan yang jelas tentang proses pembuatan surat keterangan aktif kuliah., Saya merasa kecewa  karena tata usaha kampus tidak memberikan panduan yang jelas tentang proses pembuatan surat keterangan aktif kuliah.
1330,kesal, Saya merasa kesal karena tata usaha kampus terkadang tidak memberikan dukungan yang memadai dalam proses pengurusan izin cuti kuliah., Saya merasa kesal karena tata usaha kampus terkadang tidak memberikan dukungan yang memadai dalam proses pengurusan izin cuti kuliah.
1331,kecewa, Saya merasa kecewa  karena tata usaha kampus tidak selalu memberikan respon yang cepat terhadap pertanyaan dan keluhan mahasiswa., Saya merasa kecewa  karena tata usaha kampus tidak selalu memberikan respon yang cepat terhadap pertanyaan dan keluhan mahasiswa.
1332,kesal, Saya merasa kesal karena tata usaha kampus terkadang tidak mengurus dispensasi kuliah dengan segera., Saya merasa kesal karena tata usaha kampus terkadang tidak mengurus dispensasi kuliah dengan segera.
1333,kecewa, Saya merasa kecewa  karena tata usaha kampus tidak memberikan bantuan yang memadai dalam proses pengurusan cuti kuliah., Saya merasa kecewa  karena tata usaha kampus tidak memberikan bantuan yang memadai dalam proses pengurusan cuti kuliah.
1334,kesal, Saya merasa kesal karena tata usaha kampus tidak selalu memberikan informasi yang akurat tentang jadwal kuliah dan ujian., Saya merasa kesal karena tata usaha kampus tidak selalu memberikan informasi yang akurat tentang jadwal kuliah dan ujian.
1335,kecewa, Saya merasa kecewa  karena tata usaha kampus terkadang tidak memberikan bantuan yang diperlukan dalam mengurus surat rekomendasi beasiswa., Saya merasa kecewa  karena tata usaha kampus terkadang tidak memberikan bantuan yang diperlukan dalam mengurus surat rekomendasi beasiswa.
1336,kesal, Saya merasa kesal karena tata usaha kampus tidak memberikan pengarahan yang jelas tentang proses pendaftaran mata kuliah., Saya merasa kesal karena tata usaha kampus tidak memberikan pengarahan yang jelas tentang proses pendaftaran mata kuliah.
1337,kecewa, Saya merasa kecewa  karena tata usaha kampus tidak selalu memberikan dukungan yang memadai dalam mengurus pendaftaran mata kuliah., Saya merasa kecewa  karena tata usaha kampus tidak selalu memberikan dukungan yang memadai dalam mengurus pendaftaran mata kuliah.
1338,kesal, Saya merasa kesal karena tata usaha kampus tidak memberikan penjelasan yang memadai tentang prosedur penggantian dosen pembimbing skripsi., Saya merasa kesal karena tata usaha kampus tidak memberikan penjelasan yang memadai tentang prosedur penggantian dosen pembimbing skripsi.
1339,kecewa, Saya merasa kecewa  karena tata usaha kampus tidak memberikan informasi yang akurat tentang syarat dan ketentuan penggantian dosen pembimbing skripsi., Saya merasa kecewa  karena tata usaha kampus tidak memberikan informasi yang akurat tentang syarat dan ketentuan penggantian dosen pembimbing skripsi.
1340,kesal, Saya merasa kesal karena tata usaha kampus terkadang tidak memberikan panduan yang jelas tentang proses pengajuan perpanjangan waktu skripsi., Saya merasa kesal karena tata usaha kampus terkadang tidak memberikan panduan yang jelas tentang proses pengajuan perpanjangan waktu skripsi.
1341,kecewa, Saya merasa kecewa  karena tata usaha kampus tidak memberikan respon yang cepat terhadap permohonan perpanjangan waktu skripsi., Saya merasa kecewa  karena tata usaha kampus tidak memberikan respon yang cepat terhadap permohonan perpanjangan waktu skripsi.
1342,kesal, Saya merasa kesal karena tata usaha kampus tidak memberikan informasi yang lengkap tentang proses pendaftaran seminar skripsi., Saya merasa kesal karena tata usaha kampus tidak memberikan informasi yang lengkap tentang proses pendaftaran seminar skripsi.
1343,kecewa, Saya merasa kecewa  karena tata usaha kampus terkadang tidak responsif terhadap pertanyaan mahasiswa tentang seminar skripsi., Saya merasa kecewa  karena tata usaha kampus terkadang tidak responsif terhadap pertanyaan mahasiswa tentang seminar skripsi.
1344,kesal, Saya merasa kesal karena tata usaha kampus tidak memberikan pelayanan yang ramah saat proses pendaftaran wisuda., Saya merasa kesal karena tata usaha kampus tidak memberikan pelayanan yang ramah saat proses pendaftaran wisuda.
1345,kecewa, Saya merasa kecewa  karena tata usaha kampus tidak memberikan informasi yang lengkap tentang proses pendaftaran wisuda., Saya merasa kecewa  karena tata usaha kampus tidak memberikan informasi yang lengkap tentang proses pendaftaran wisuda.
1346,kesal, Saya merasa kesal karena tata usaha kampus terkadang tidak memberikan dukungan yang memadai dalam mengurus proses pendaftaran wisuda., Saya merasa kesal karena tata usaha kampus terkadang tidak memberikan dukungan yang memadai dalam mengurus proses pendaftaran wisuda.
1347,kecewa, Saya merasa kecewa  karena tata usaha kampus terkadang tidak memberikan penjelasan yang jelas tentang persyaratan mengikuti wisuda., Saya merasa kecewa  karena tata usaha kampus terkadang tidak memberikan penjelasan yang jelas tentang persyaratan mengikuti wisuda.
1348,kesal, Saya merasa kesal karena tata usaha kampus tidak memberikan informasi yang akurat tentang jadwal ujian skripsi., Saya merasa kesal karena tata usaha kampus tidak memberikan informasi yang akurat tentang jadwal ujian skripsi.
1349,kecewa, Saya merasa kecewa  karena tata usaha kampus tidak memberikan panduan yang jelas tentang proses pengajuan perpanjangan ujian skripsi., Saya merasa kecewa  karena tata usaha kampus tidak memberikan panduan yang jelas tentang proses pengajuan perpanjangan ujian skripsi.
1350,kesal, Saya merasa kesal karena tata usaha kampus tidak memberikan respon yang cepat terhadap permohonan perpanjangan ujian skripsi., Saya merasa kesal karena tata usaha kampus tidak memberikan respon yang cepat terhadap permohonan perpanjangan ujian skripsi.
1351,kecewa, Saya merasa kecewa  karena tata usaha kampus tidak memberikan informasi yang lengkap tentang persyaratan mengikuti ujian akhir semester., Saya merasa kecewa  karena tata usaha kampus tidak memberikan informasi yang lengkap tentang persyaratan mengikuti ujian akhir semester.
1352,kesal, Saya merasa kesal karena tata usaha kampus tidak selalu memberikan pelayanan yang ramah saat mahasiswa menghadapi masalah akademik., Saya merasa kesal karena tata usaha kampus tidak selalu memberikan pelayanan yang ramah saat mahasiswa menghadapi masalah akademik.
1353,kecewa, Saya merasa kecewa  karena tata usaha kampus terkadang lambat dalam merespon permohonan pengurusan surat-surat penting mahasiswa., Saya merasa kecewa  karena tata usaha kampus terkadang lambat dalam merespon permohonan pengurusan surat-surat penting mahasiswa.
1354,kesal, Saya merasa kesal karena tata usaha kampus tidak memberikan panduan yang jelas tentang proses pengajuan dispensasi kuliah., Saya merasa kesal karena tata usaha kampus tidak memberikan panduan yang jelas tentang proses pengajuan dispensasi kuliah.
1355,kecewa, Saya merasa kecewa  karena tata usaha kampus tidak memberikan bantuan yang memadai dalam mengurus perpanjangan masa studi., Saya merasa kecewa  karena tata usaha kampus tidak memberikan bantuan yang memadai dalam mengurus perpanjangan masa studi.
1356,kesal, Saya merasa kesal karena tata usaha kampus tidak memberikan informasi yang akurat tentang biaya pembuatan KTM baru., Saya merasa kesal karena tata usaha kampus tidak memberikan informasi yang akurat tentang biaya pembuatan KTM baru.
